Devices,,,,,,,,,,
2000,,,,,,,,,,
,,AMTI-AP - Force,,,AMTI-AP - Moment,,,AMTI-AP - CoP,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
60,5,47.9586,-91.5778,669.019,49218.1,-96291.5,-6765.49,143.929,73.5676,0.0000217327
60,6,47.9132,-92.1264,671.693,49531.6,-97004.8,-5979.49,144.418,73.7414,0.0000218066
60,7,48.6184,-91.033,668.308,48571.3,-97175.9,-6921.58,145.406,72.678,0.0000219557
61,0,49.3235,-89.9397,664.923,47610.9,-97347,-7863.68,146.403,71.6037,0.0000221063
61,1,47.2821,-90.6155,667.043,48892,-97406.8,-7345.7,146.028,73.2966,0.0000220496
61,2,45.2407,-91.2913,669.164,50173,-97466.6,-6827.72,145.654,74.9787,0.0000219932
61,3,44.8389,-91.2796,670.93,50380.5,-96601.9,-6999.23,143.982,75.0906,0.0000217407
61,4,44.4371,-91.268,672.696,50588.1,-95737.1,-7170.73,142.318,75.2019,0.0000214895
61,5,44.7407,-91.2807,668.072,49253.9,-95786.7,-7442.05,143.378,73.7254,0.0000216495
61,6,45.0442,-91.2935,663.447,47919.7,-95836.4,-7713.37,144.452,72.2283,0.0000218117
61,7,44.6658,-90.6755,662.834,47405.9,-96072.7,-8231.56,144.942,71.5201,0.0000218857
62,0,44.2875,-90.0574,662.221,46892.2,-96308.9,-8749.76,145.433,70.8105,0.0000219598
62,1,44.5053,-90.7326,667.026,48183.5,-96701.5,-7921.28,144.974,72.2363,0.0000218905
62,2,44.7232,-91.4078,671.831,49474.7,-97094,-7092.81,144.521,73.6416,0.0000218221
62,3,45.3671,-90.5904,666.892,49067.1,-96385.3,-7591.03,144.529,73.5758,0.0000218233
62,4,46.011,-89.773,661.953,48659.6,-95676.6,-8089.26,144.537,73.5091,0.0000218245
62,5,45.8342,-90.0139,662.579,45852.6,-96085.6,-8097.01,145.018,69.2033,0.0000218971
62,6,45.6574,-90.2549,663.204,43045.7,-96494.5,-8104.77,145.497,64.9056,0.0000219695
62,7,45.3485,-90.2298,665.636,45794.8,-96106.9,-7572.95,144.383,68.7985,0.0000218013
63,0,45.0396,-90.2047,668.068,48543.8,-95719.2,-7041.13,143.278,72.663,0.0000216343
63,1,44.7262,-89.9518,664.632,48164.2,-95352.5,-7767.03,143.467,72.4674,0.0000216629
63,2,44.4128,-89.699,661.197,47784.5,-94985.9,-8492.93,143.657,72.2697,0.0000216917
63,3,44.1696,-89.7509,660.804,46677.6,-95610.3,-8569.44,144.688,70.6376,0.0000218473
63,4,43.9264,-89.8028,660.411,45570.7,-96234.7,-8645.96,145.719,69.0035,0.000022003
63,5,43.0333,-89.3282,657.726,45706.3,-95539.6,-8997.3,145.257,69.4914,0.0000219333
63,6,42.1402,-88.8537,655.041,45842,-94844.5,-9348.63,144.792,69.9833,0.0000218629
63,7,41.5492,-89.8296,655.828,46138.6,-95116.4,-9307.21,145.033,70.3518,0.0000218993
64,0,40.9581,-90.8054,656.614,46435.3,-95388.2,-9265.79,145.273,70.7194,0.0000219356
64,1,40.8997,-90.5702,654.722,47129.5,-94604.2,-9379.52,144.495,71.9841,0.0000218182
64,2,40.8413,-90.3349,652.829,47823.7,-93820.3,-9493.23,143.713,73.2561,0.0000217001
64,3,40.7521,-90.1335,653.121,46899.8,-93462.5,-9633.9,143.101,71.8088,0.0000216077
64,4,40.6628,-89.9322,653.413,45975.9,-93104.7,-9774.57,142.49,70.3628,0.0000215154
64,5,40.5949,-90.7155,651.235,44634.4,-93796.3,-9182.11,144.028,68.5381,0.0000217477
64,6,40.527,-91.4988,649.058,43292.9,-94487.8,-8589.65,145.577,66.7012,0.0000219815
64,7,40.8509,-91.2394,647.874,44790.3,-93972.4,-8819.46,145.047,69.1343,0.0000219015
65,0,41.1749,-90.9799,646.69,46287.8,-93457.1,-9049.25,144.516,71.5764,0.0000218213
65,1,40.3991,-90.8621,650.147,46479.6,-93672.7,-9110.46,144.079,71.4908,0.0000217553
65,2,39.6233,-90.7444,653.605,46671.4,-93888.3,-9171.66,143.647,71.4062,0.0000216901
65,3,39.6472,-91.114,653.79,46773.8,-94196,-8285.04,144.077,71.5426,0.000021755
65,4,39.671,-91.4836,653.976,46876.3,-94503.6,-7398.41,144.506,71.6789,0.0000218198
65,5,39.6337,-91.3106,650.822,45817.6,-94341.1,-7601.94,144.957,70.3995,0.0000218879
65,6,39.5964,-91.1376,647.668,44758.8,-94178.6,-7805.46,145.412,69.1077,0.0000219566
65,7,39.8578,-91.2485,649.754,44428.7,-95000.6,-7656.91,146.21,68.3778,0.0000220771
66,0,40.1193,-91.3593,651.84,44098.6,-95822.7,-7508.37,147.003,67.6525,0.0000221969
66,1,40.5882,-90.4437,648.369,44531.4,-95035.6,-7800.83,146.576,68.6821,0.0000221324
66,2,41.057,-89.528,644.898,44964.1,-94248.4,-8093.3,146.145,69.7229,0.0000220672
66,3,41.784,-89.5498,643.766,45403.7,-93865,-8032.76,145.806,70.5282,0.0000220161
66,4,42.511,-89.5716,642.634,45843.2,-93481.5,-7972.22,145.466,71.3364,0.0000219648
66,5,43.4768,-89.6306,645.318,44734.4,-94948.1,-7782.56,147.134,69.3215,0.0000222166
66,6,44.4426,-89.6895,648.002,43625.7,-96414.6,-7592.9,148.787,67.3233,0.0000224663
66,7,42.8332,-89.782,647.997,42740.6,-96731.8,-7532.1,149.278,65.9581,0.0000225404
